x,y
-9.26213,38.84809
-9.26225,38.84839
-9.26237,38.84896
-9.26377,38.85012
-9.26413,38.8524
-9.31282,38.91617
-9.31229,38.91628
-9.31316,38.91801
-9.31264,38.91827
-9.31371,38.92276
-9.31371,38.92436
-9.3133,38.92287
-9.31229,38.92335
-9.3098,38.92094
-9.30722,38.92142
-9.3105,38.92215
-9.30948,38.92308
-9.30548,38.92204
-9.30553,38.92244
-9.30641,38.92288
-9.30604,38.92279
-9.30808,38.92388
-9.3054,38.92166
-9.30483,38.92265
-9.30506,38.92279
-9.30358,38.92387
-9.30357,38.92397
-9.31488,38.92531
-9.31252,38.92581
-9.31303,38.92643
-9.31279,38.92612
-9.31095,38.92924
-9.31159,38.92987
-9.31089,38.92949
-9.31037,38.92986
-9.31131,38.93086
-9.31127,38.93112
-9.31127,38.93143
-9.31258,38.93179
-9.31275,38.93243
-9.31208,38.93166
-9.31129,38.93164
-9.31118,38.93196
-9.31225,38.93268
-9.31112,38.93225
-9.31235,38.93342
-9.31253,38.93406
-9.31161,38.93319
-9.31189,38.93445
-9.31147,38.93487
-9.3101,38.93049
-9.3099,38.93049
-9.31067,38.93141
-9.30918,38.93134
-9.31033,38.9316
-9.30957,38.9316
-9.31045,38.93285
-9.31035,38.93311
-9.30978,38.93381
-9.30965,38.93375
-9.30872,38.93287
-9.31085,38.93467
-9.3084,38.93472
-9.30808,38.93527
-8.69559,39.7092
-8.69448,39.71004
-8.69334,39.70995
-8.69214,39.70806
-8.69113,39.70764
-8.69038,39.70801
-8.69067,39.70839
-8.69049,39.70868
-8.69229,39.70899
-8.69129,39.70902
-8.69715,39.71239
-8.69714,39.71265
-8.69889,39.71427
-8.69791,39.71367
-8.69797,39.71411
-8.69708,39.71383
-8.69695,39.71368
-8.69638,39.71365
-8.69679,39.71393
-8.69703,39.71405
-8.69745,39.7143
-8.69299,39.71028
-8.69355,39.71134
-8.69561,39.71179
-8.69213,39.71046
-8.69027,39.71029
-8.69507,39.71341
-8.69238,39.71313
-8.69104,39.71347
-8.69027,39.71433
-8.69015,39.7078
-8.69018,39.70843
-8.68901,39.70995
-8.6891,39.71002
-8.6883,39.71236
-8.68547,39.71228
-8.68904,39.71378
-8.68869,39.71386
-8.688,39.71366
-8.68782,39.71379
-8.68771,39.71371
-8.68791,39.71389
-8.68974,39.71459
-8.68956,39.71553
-8.68874,39.71433
-8.68798,39.7143
-8.68758,39.71515
-8.68809,39.71535
-8.6993,39.7158
-8.69883,39.7176
-8.69945,39.71772
-8.69901,39.71817
-8.69716,39.71597
-8.69782,39.71685
-8.69657,39.71683
-8.69823,39.71754
-8.70032,39.71953
-8.69944,39.71923
-8.70102,39.72034
-8.70068,39.72038
-8.70039,39.7202
-8.70077,39.72056
-8.69345,39.7181
-8.69257,39.71671
-8.69033,39.71558
-8.69117,39.71688
-8.69092,39.71719
-8.69071,39.71698
-8.69497,39.71848
-8.69451,39.71954
-8.69372,39.7184
-8.69401,39.71877
-8.69425,39.71947
-8.69606,39.72238
-8.69706,39.72341
-8.69696,39.72245
-8.69686,39.72269
-8.69992,39.72512
-8.69881,39.725
-8.70056,39.72579
-8.70017,39.72535
-8.69987,39.72563
-8.70104,39.72612
-8.70001,39.7259
-8.6996,39.72543
-8.69418,39.72219
-8.69485,39.72293
-8.69561,39.72314
-8.68936,39.71571
